entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2023-03-22,2023-04-21,BITO,4.83,4.58,1429.0,295.993,-72.79,-5.09,21,0.69,trailing_stop
2023-03-22,2023-05-16,GDX,29.11,31.74,1429.0,49.0793,129.14,9.04,38,2.78,trailing_stop
2023-03-23,2023-04-05,NKE,114.68,114.68,1429.0,12.4566,-0.0,-0.0,9,0.5,trailing_stop
2023-03-24,2023-05-11,SLV,21.54,22.33,1429.0,66.3171,52.23,3.66,33,2.23,trailing_stop
2023-03-24,2023-08-09,NVDA,27.04,42.49,1429.0,52.8404,816.47,57.15,94,9.81,trailing_stop
2023-03-27,2023-05-18,GLD,181.33,181.52,1429.0,7.8782,1.5,0.1,37,1.53,trailing_stop
2023-03-29,2023-05-23,WMT,46.63,47.68,1429.0,30.6353,32.16,2.25,38,2.23,trailing_stop
2023-04-05,2023-04-28,ENI.MI,11.09,11.09,1429.0,128.8118,-0.0,-0.0,15,0.67,trailing_stop
2023-04-25,2023-05-09,SAP,129.58,129.58,1418.0,10.9443,-0.0,-0.0,10,0.51,trailing_stop
2023-05-01,2023-08-25,AMZN,105.05,131.22,1418.0,13.4993,353.23,24.91,81,5.1,trailing_stop
2023-05-09,2023-05-23,AAPL,170.75,170.75,1418.0,8.3056,-0.0,-0.0,10,0.36,trailing_stop
2023-05-12,2023-06-27,GOOGL,115.92,115.92,1426.0,12.2983,-0.0,-0.0,30,1.67,trailing_stop
2023-05-19,2023-06-23,AMD,106.47,107.89,1444.0,13.5658,19.36,1.34,23,2.3,trailing_stop
2023-05-19,2023-07-27,NOW,102.1,111.87,1444.0,14.1456,138.11,9.56,46,3.44,trailing_stop
2023-05-23,2023-05-31,AVGO,66.57,77.63,1449.0,21.7634,240.6,16.61,5,4.83,trailing_stop
2023-05-23,2023-09-15,CSCO,45.03,52.14,1449.0,32.1787,228.75,15.79,79,6.14,trailing_stop
2023-05-31,2023-06-13,ASML,710.82,710.82,1483.0,2.0867,-0.0,-0.0,9,0.26,trailing_stop
2023-06-13,2023-06-27,ORCL,119.57,113.48,1483.0,12.4046,-75.57,-5.1,9,0.54,trailing_stop
2023-06-23,2023-07-24,BITO,5.05,4.8,1486.0,294.0401,-75.71,-5.1,20,0.6,trailing_stop
2023-06-27,2023-07-11,MRK,104.48,101.12,1475.0,14.1191,-47.45,-3.22,9,0.51,trailing_stop
2023-06-27,2023-08-18,META,280.33,281.43,1475.0,5.2624,5.79,0.39,37,2.55,trailing_stop
2023-07-11,2023-10-04,BNO,26.53,30.96,1468.0,55.358,245.22,16.7,60,5.08,trailing_stop
2023-07-24,2023-08-11,GS,332.41,317.66,1458.0,4.3851,-64.69,-4.44,14,0.29,trailing_stop
2023-07-27,2023-08-23,ADS.DE,177.28,170.94,1477.0,8.3335,-52.84,-3.58,19,0.74,trailing_stop
2023-08-30,2023-09-13,PPLT,90.06,85.76,1629.0,18.0824,-77.72,-4.77,9,0.0,trailing_stop
2023-08-30,2023-09-13,SOYB,29.16,28.06,1629.0,55.8489,-61.17,-3.76,9,0.0,trailing_stop
2023-08-30,2023-09-14,INGA.AS,11.58,10.99,1629.0,140.6178,-82.97,-5.1,11,0.0,trailing_stop
2023-09-04,2023-09-18,AIR.PA,128.96,124.64,1629.0,12.6281,-54.5,-3.35,10,0.55,trailing_stop
2023-09-05,2023-09-18,ADBE,558.44,529.99,1629.0,2.9162,-82.97,-5.1,9,0.23,trailing_stop
2023-11-06,2023-11-20,PHIA.AS,17.81,17.81,1645.0,92.3501,-0.0,-0.0,10,0.22,trailing_stop
2023-11-06,2024-01-03,ASML,625.63,698.12,1645.0,2.6292,190.59,11.59,39,3.5,trailing_stop
2023-11-06,2024-04-11,ISP.MI,2.11,2.78,1645.0,780.2091,525.55,31.95,108,11.51,trailing_stop
2023-11-07,2023-11-20,SBUX,98.51,98.51,1645.0,16.6974,-0.0,-0.0,9,0.74,trailing_stop
2023-11-07,2023-12-04,SOYB,28.43,27.75,1645.0,57.8605,-39.45,-2.4,18,0.8,trailing_stop
2023-11-07,2024-01-03,QCOM,114.35,131.93,1645.0,14.385,252.95,15.38,38,4.25,trailing_stop
2023-11-07,2024-04-12,GS,306.02,374.27,1645.0,5.3751,366.88,22.3,107,7.19,trailing_stop
2023-11-22,2023-12-07,TXN,144.7,144.7,1645.0,11.3677,-0.0,-0.0,10,0.45,trailing_stop
2023-11-23,2023-12-22,ADS.DE,184.64,184.64,1645.0,8.9087,-0.0,-0.0,21,1.08,trailing_stop
2023-12-05,2024-04-10,CRH,60.86,80.9,1639.0,26.9352,539.92,32.94,86,9.3,trailing_stop
2023-12-07,2024-01-16,TLT,87.0,87.46,1639.0,18.8413,8.57,0.52,25,2.23,trailing_stop
2023-12-27,2024-01-10,PPLT,90.09,88.64,1639.0,18.1956,-26.46,-1.61,9,0.71,trailing_stop
2024-01-04,2024-01-18,PFE,25.77,24.46,1703.0,66.0588,-86.75,-5.1,9,0.0,trailing_stop
2024-01-04,2024-04-02,WMT,52.0,57.93,1703.0,32.7449,194.14,11.4,60,6.96,trailing_stop
2024-01-10,2024-04-09,NVDA,53.64,84.57,1699.0,31.671,979.57,57.66,61,15.06,trailing_stop
2024-01-19,2024-02-01,AMD,165.97,165.97,1688.0,10.1687,-0.0,-0.0,9,1.12,trailing_stop
2024-01-23,2024-02-05,AVGO,119.52,119.52,1688.0,14.1206,-0.0,-0.0,9,0.54,trailing_stop
2024-02-01,2024-04-12,C,52.33,55.82,1688.0,32.2496,112.43,6.66,49,2.95,trailing_stop
2024-02-06,2024-04-19,AMZN,169.56,176.04,1688.0,9.9532,64.47,3.82,51,2.48,trailing_stop
2024-04-02,2024-05-03,GLD,209.28,211.0,1715.0,8.1967,14.1,0.82,23,2.83,trailing_stop
2024-04-09,2024-04-22,SLV,25.78,25.78,1855.0,71.9797,-0.0,-0.0,9,0.58,trailing_stop
2024-04-10,2024-04-23,PPLT,88.93,87.02,1932.0,21.7304,-41.46,-2.15,9,0.39,trailing_stop
2024-05-03,2024-05-29,SAN.PA,84.53,84.53,2081.0,24.6209,-0.0,-0.0,18,1.26,trailing_stop
2024-05-06,2024-05-17,CORN,20.45,20.45,2081.0,101.7736,-0.0,-0.0,9,0.87,trailing_stop
2024-05-06,2024-05-31,SOYB,25.55,25.19,2081.0,81.4747,-28.98,-1.39,18,1.01,trailing_stop
2024-05-06,2024-06-11,INGA.AS,14.45,14.45,2081.0,144.0324,-0.0,-0.0,26,0.87,trailing_stop
2024-05-06,2024-06-12,PFE,24.57,24.57,2081.0,84.7013,-0.0,-0.0,26,1.78,trailing_stop
2024-05-06,2024-06-24,QCOM,175.55,197.96,2081.0,11.8561,265.7,12.77,33,4.39,trailing_stop
2024-05-07,2024-07-12,COST,752.4,835.4,2081.0,2.7662,229.58,11.03,45,5.19,trailing_stop
2024-05-17,2024-05-31,UNG,18.6,18.72,2081.0,111.9072,14.05,0.67,9,1.31,trailing_stop
2024-06-04,2024-06-17,NKE,91.34,89.52,2079.0,22.7625,-41.55,-2.0,9,0.74,trailing_stop
2024-06-05,2024-06-18,TEF.MC,3.86,3.66,2079.0,539.3074,-105.93,-5.1,9,0.0,trailing_stop
2024-06-07,2024-06-21,ASML,1025.79,1025.79,2079.0,2.0269,-0.0,-0.0,9,0.43,trailing_stop
2024-06-13,2024-07-24,AAPL,213.31,215.69,2079.0,9.7474,23.27,1.12,27,2.16,trailing_stop
2024-06-14,2024-06-28,ORCL,136.97,136.97,2079.0,15.1802,-0.0,-0.0,9,0.69,trailing_stop
2024-06-18,2024-08-05,ADBE,515.22,515.22,2058.0,3.9946,-0.0,-0.0,32,1.75,trailing_stop
2024-06-21,2024-08-06,DTE.DE,22.27,22.79,2058.0,92.4161,48.3,2.35,32,2.22,trailing_stop
2024-07-01,2024-07-15,AMZN,193.68,193.68,2096.0,10.8221,-0.0,-0.0,9,0.73,trailing_stop
2024-07-02,2024-07-25,C,60.21,60.21,2096.0,34.8154,-0.0,-0.0,16,1.43,trailing_stop
2024-07-09,2024-07-22,META,531.67,504.58,2096.0,3.9424,-106.79,-5.1,9,0.02,trailing_stop
2024-07-15,2024-07-26,GLD,223.61,220.59,2129.0,9.5203,-28.8,-1.35,9,1.0,trailing_stop
2024-07-16,2024-07-29,DIA,394.7,394.7,2129.0,5.3936,-0.0,-0.0,9,1.11,trailing_stop
2024-07-26,2024-10-23,TMO,598.51,568.01,2113.0,3.5302,-107.65,-5.1,62,0.8,trailing_stop
2024-07-31,2024-10-28,PHIA.AS,25.55,27.32,2113.0,82.6844,145.94,6.91,63,2.3,trailing_stop
2024-08-01,2024-08-05,ISP.MI,3.33,2.83,2113.0,634.8853,-318.72,-15.08,2,0.0,emergency_stop
2024-08-16,2024-09-05,LLY,920.91,920.91,2074.0,2.2523,-0.0,-0.0,13,0.39,trailing_stop
2024-08-21,2024-09-04,ITX.MC,45.93,45.93,2074.0,45.1632,-0.0,-0.0,10,0.61,trailing_stop
2024-08-21,2024-10-23,MCD,277.59,294.53,2074.0,7.4721,126.56,6.1,44,2.69,trailing_stop
2024-08-21,2024-11-06,IBE.MC,11.84,12.69,2074.0,175.1926,148.56,7.16,55,4.27,trailing_stop
2024-08-22,2024-11-06,GLD,230.58,248.3,2074.0,8.9955,159.38,7.68,53,4.34,trailing_stop
2024-09-19,2024-10-08,KBC.BR,67.4,63.96,2074.0,30.7752,-105.68,-5.1,13,0.02,trailing_stop
2024-09-23,2024-10-04,SU.PA,230.3,227.17,2074.0,9.0065,-28.2,-1.36,9,0.94,trailing_stop
2024-10-04,2024-10-17,WEAT,26.73,25.82,2070.0,77.4565,-69.91,-3.38,9,0.39,trailing_stop
2024-10-09,2024-10-28,BNO,29.94,28.64,2055.0,68.6394,-88.99,-4.33,13,0.74,trailing_stop
2024-10-17,2024-10-30,AIR.PA,134.73,134.73,2045.0,15.1791,-0.0,-0.0,9,0.61,trailing_stop
2024-10-23,2024-11-06,SLV,31.13,29.54,2048.0,65.779,-104.33,-5.1,10,0.16,trailing_stop
2024-10-23,2024-11-08,NOK,4.56,4.42,2048.0,449.0659,-62.44,-3.05,12,1.18,trailing_stop
2024-10-28,2024-11-13,SAP,238.9,227.1,2056.0,8.6057,-101.57,-4.94,12,0.15,trailing_stop
2024-10-29,2024-12-31,TSLA,264.77,409.79,2056.0,7.7648,1125.97,54.77,43,9.51,trailing_stop
2024-11-01,2024-11-11,ABBV,196.09,166.51,2056.0,10.4848,-310.13,-15.08,6,0.0,emergency_stop
2024-11-08,2024-11-21,INTC,26.03,24.7,2076.0,79.7693,-105.78,-5.1,9,0.0,trailing_stop
2024-11-08,2024-11-21,AMZN,209.93,199.23,2076.0,9.8894,-105.78,-5.1,9,0.39,trailing_stop
2024-11-08,2024-11-22,INTU,672.98,646.73,2076.0,3.0849,-80.99,-3.9,10,0.91,trailing_stop
2024-11-08,2024-12-18,CRH,99.37,95.15,2076.0,20.8922,-88.14,-4.25,27,0.78,trailing_stop
2024-11-12,2024-12-18,DIA,435.51,420.48,2032.0,4.6652,-70.14,-3.45,25,0.71,trailing_stop
2024-11-13,2024-12-16,SCHW,76.89,76.89,2017.0,26.237,-0.0,-0.0,22,1.44,trailing_stop
2024-11-25,2024-12-09,UNG,14.99,14.23,1975.0,131.742,-100.65,-5.1,9,0.06,trailing_stop
2024-11-25,2024-12-18,IBM,216.71,218.38,1975.0,9.1159,15.29,0.77,16,1.67,trailing_stop
2024-11-26,2024-12-10,PG,171.59,166.95,1975.0,11.5125,-53.51,-2.71,9,0.4,trailing_stop
2024-12-10,2025-01-03,MC.PA,627.59,595.62,1953.0,3.1126,-99.53,-5.1,15,0.11,trailing_stop
2024-12-11,2024-12-27,BAS.DE,42.52,41.31,1953.0,45.9424,-55.58,-2.85,9,0.19,trailing_stop
2024-12-17,2025-01-13,KBC.BR,69.27,69.27,1953.0,28.2002,-0.0,-0.0,16,1.31,trailing_stop
2024-12-24,2025-01-31,UNG,16.02,15.92,1933.0,120.693,-11.61,-0.6,24,2.93,trailing_stop
