entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2024-03-20,2024-04-03,PEP,161.93,158.7,1429.0,8.8224,-28.44,-1.99,9,0.53,trailing_stop
2024-03-20,2024-07-18,GOOGL,147.04,177.93,1429.0,9.7157,300.14,21.01,82,5.83,trailing_stop
2024-03-21,2024-04-11,BAS.DE,46.49,46.49,1429.0,30.7278,-0.0,-0.0,13,1.2,trailing_stop
2024-03-22,2024-04-05,DIA,387.09,376.49,1429.0,3.6905,-39.14,-2.74,9,0.0,trailing_stop
2024-03-22,2024-04-11,MS,88.24,84.14,1429.0,16.1901,-66.42,-4.65,13,0.12,trailing_stop
2024-03-22,2024-04-12,JPM,190.84,184.08,1429.0,7.4856,-50.62,-3.54,14,0.19,trailing_stop
2024-03-22,2024-05-23,PICK,38.61,41.11,1429.0,36.9961,92.52,6.48,43,3.93,trailing_stop
2024-04-03,2024-05-03,GLD,210.78,211.0,1425.0,6.7583,1.47,0.1,22,2.44,trailing_stop
2024-04-05,2024-05-31,DBB,17.65,19.41,1419.0,80.4072,141.66,9.98,39,5.91,trailing_stop
2024-04-19,2024-07-02,ADS.DE,222.89,211.69,1402.0,6.2911,-70.43,-5.02,51,0.66,trailing_stop
2024-05-03,2024-05-29,SAN.PA,84.53,84.53,1402.0,16.5898,-0.0,-0.0,18,1.26,trailing_stop
2024-05-06,2024-06-11,INGA.AS,14.45,14.45,1402.0,97.0503,-0.0,-0.0,26,0.87,trailing_stop
2024-05-06,2024-06-24,QCOM,175.55,197.96,1402.0,7.9887,179.03,12.77,33,4.39,trailing_stop
2024-06-05,2024-06-18,TEF.MC,3.86,3.66,1436.0,372.4406,-73.16,-5.1,9,0.0,trailing_stop
2024-06-07,2024-06-21,ASML,1025.79,1025.79,1436.0,1.3998,-0.0,-0.0,9,0.43,trailing_stop
2024-06-13,2024-07-24,AAPL,213.31,215.69,1436.0,6.7315,16.07,1.12,27,2.16,trailing_stop
2024-06-14,2024-06-28,ORCL,136.97,136.97,1436.0,10.4833,-0.0,-0.0,9,0.69,trailing_stop
2024-06-18,2024-08-05,ADBE,515.22,515.22,1425.0,2.7666,-0.0,-0.0,32,1.75,trailing_stop
2024-06-21,2024-08-06,DTE.DE,22.27,22.79,1425.0,64.0058,33.45,2.35,32,2.22,trailing_stop
2024-07-01,2024-07-15,AMZN,193.68,193.68,1451.0,7.4915,-0.0,-0.0,9,0.73,trailing_stop
2024-07-02,2024-07-25,C,60.21,60.21,1441.0,23.9336,-0.0,-0.0,16,1.43,trailing_stop
2024-07-15,2024-07-26,GLD,223.61,220.59,1441.0,6.4438,-19.5,-1.35,9,1.0,trailing_stop
2024-07-15,2024-08-02,USB,39.97,39.97,1441.0,36.0476,-0.0,-0.0,14,1.65,trailing_stop
2024-07-19,2024-12-12,BMY,39.73,53.25,1484.0,37.3449,504.72,34.02,102,8.66,trailing_stop
2024-07-26,2024-10-23,TMO,598.51,568.01,1483.0,2.4784,-75.57,-5.1,62,0.8,trailing_stop
2024-07-29,2024-10-07,KO,64.1,67.07,1483.0,23.1408,68.85,4.64,49,3.17,trailing_stop
2024-07-31,2024-10-28,PHIA.AS,25.55,27.32,1483.0,58.049,102.46,6.91,63,2.3,trailing_stop
2024-08-16,2024-09-05,LLY,920.91,920.91,1488.0,1.6159,-0.0,-0.0,13,0.39,trailing_stop
2024-08-21,2024-09-04,ITX.MC,45.93,45.93,1488.0,32.4016,-0.0,-0.0,10,0.61,trailing_stop
2024-08-21,2024-10-23,MCD,277.59,294.53,1488.0,5.3607,90.8,6.1,44,2.69,trailing_stop
2024-09-17,2024-09-30,PPLT,90.13,90.13,1488.0,16.5105,-0.0,-0.0,9,0.73,trailing_stop
2024-09-19,2024-10-08,KBC.BR,67.4,63.96,1488.0,22.0792,-75.82,-5.1,13,0.02,trailing_stop
2024-09-30,2024-10-11,UCG.MI,36.93,36.93,1488.0,40.2912,-0.0,-0.0,9,0.12,trailing_stop
2024-10-09,2024-10-28,BNO,29.94,28.64,1487.0,49.6693,-64.39,-4.33,13,0.74,trailing_stop
2024-10-09,2024-10-28,USO,74.18,70.7,1487.0,20.046,-69.83,-4.7,13,0.71,trailing_stop
2024-10-15,2024-12-10,WFC,60.98,70.18,1487.0,24.3863,224.34,15.09,39,4.76,trailing_stop
2024-10-23,2024-11-06,SLV,31.13,29.54,1489.0,47.8386,-75.88,-5.1,10,0.16,trailing_stop
2024-10-23,2024-11-08,NOK,4.56,4.42,1489.0,326.5888,-45.41,-3.05,12,1.18,trailing_stop
2024-10-28,2024-11-13,SAP,238.9,227.1,1485.0,6.2148,-73.35,-4.94,12,0.15,trailing_stop
2024-10-29,2024-12-31,TSLA,264.77,409.79,1485.0,5.6075,813.15,54.77,43,9.51,trailing_stop
2024-11-01,2024-11-11,ABBV,196.09,166.51,1485.0,7.5719,-223.97,-15.09,6,0.0,emergency_stop
