entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2016-08-15,2016-11-01,DG.PA,option_eu,4.02,1.01,47.89,1372.0,3.42,-1027.83,-74.92,56,0.0,dte_exit
2016-08-17,2016-11-01,AVGO,option_us,1.12,0.65,12.77,1372.0,12.29,-574.22,-41.86,53,0.2,dte_exit
2016-09-09,2016-10-04,CCI,stock,64.64,61.35,,983.0,15.2033,-50.07,-5.1,17,0.0,trailing_stop
2016-09-12,2016-09-26,FXI,stock,29.72,29.72,,983.0,33.0701,-0.0,-0.0,10,1.4,trailing_stop
2016-09-26,2016-12-06,IFX.DE,option_eu,1.18,1.36,13.2,1369.0,11.58,211.2,15.43,50,0.69,dte_exit
2016-09-27,2016-10-10,XEL,stock,32.32,30.67,,978.0,30.2495,-49.81,-5.1,9,0.0,trailing_stop
2016-09-30,2016-10-25,CAT,stock,70.98,68.39,,978.0,13.7736,-35.71,-3.65,17,0.42,trailing_stop
2016-10-04,2016-10-12,ERIC-B.ST,stock,48.62,41.29,,973.0,20.0042,-146.73,-15.09,6,0.05,emergency_stop
2016-10-12,2016-10-25,LLY,stock,70.26,67.36,,955.0,13.5987,-39.47,-4.13,9,0.0,trailing_stop
2016-10-12,2016-10-26,USO,stock,91.77,88.22,,955.0,10.4116,-36.93,-3.87,10,0.29,trailing_stop
2016-11-11,2016-11-25,BLK,stock,294.18,294.18,,783.0,2.6606,-0.0,-0.0,9,0.16,trailing_stop
2016-11-11,2016-11-28,CRH,stock,27.76,26.34,,783.0,28.1994,-39.88,-5.09,10,0.0,trailing_stop
2016-11-11,2016-12-01,RTX,stock,50.85,50.85,,783.0,15.393,-0.0,-0.0,13,0.42,trailing_stop
2016-11-11,2016-12-02,CHTR,stock,269.34,269.34,,783.0,2.906,-0.0,-0.0,14,0.56,trailing_stop
2016-11-11,2016-12-15,CAT,stock,76.0,76.0,,783.0,10.2982,-0.0,-0.0,23,0.79,trailing_stop
2016-11-11,2017-03-02,EMR,stock,44.22,48.4,,783.0,17.6987,74.0,9.45,74,3.6,trailing_stop
2016-11-11,2017-03-21,XLI,stock,51.78,55.5,,783.0,15.1168,56.34,7.2,87,4.0,trailing_stop
2016-11-11,2017-03-21,DIA,stock,156.8,173.89,,783.0,4.9916,85.31,10.9,87,6.55,trailing_stop
2016-11-25,2016-12-14,PICK,stock,18.7,18.7,,783.0,41.8613,-0.0,-0.0,13,0.71,trailing_stop
2016-11-28,2017-01-24,VZ,stock,30.78,31.83,,779.0,25.2969,26.38,3.39,38,2.43,trailing_stop
2016-12-01,2016-12-14,ITX.MC,stock,24.2,24.2,,779.0,32.1727,-0.0,-0.0,9,0.8,trailing_stop
2016-12-02,2017-01-31,MC.PA,option_eu,11.67,21.65,137.97,1090.0,0.93,932.77,85.56,41,1.2,dte_exit
2016-12-07,2017-01-19,GS,stock,189.86,189.86,,800.0,4.2128,-0.0,-0.0,28,1.73,trailing_stop
2016-12-14,2017-01-09,COP,stock,39.39,37.38,,800.0,20.3059,-40.75,-5.09,16,0.0,trailing_stop
2016-12-14,2017-05-11,TEF.MC,stock,5.13,6.04,,800.0,155.7617,141.63,17.71,102,6.93,trailing_stop
2016-12-15,2017-02-06,EWG,stock,20.83,21.82,,800.0,38.3906,37.88,4.74,34,3.17,trailing_stop
2016-12-20,2017-01-04,NVDA,stock,2.58,2.57,,881.0,341.7395,-3.12,-0.35,9,1.68,trailing_stop
2017-01-05,2017-01-19,BP,stock,22.66,21.82,,881.0,38.8633,-32.81,-3.73,9,0.0,trailing_stop
2017-01-09,2017-01-26,GDXJ,stock,32.79,32.79,,877.0,26.7344,-0.0,-0.0,12,0.45,trailing_stop
2017-01-19,2017-02-01,ASML,stock,110.57,110.57,,873.0,7.8986,-0.0,-0.0,9,0.46,trailing_stop
2017-01-19,2017-03-10,CORN,stock,19.4,18.96,,873.0,45.0178,-19.97,-2.29,35,1.39,trailing_stop
2017-01-24,2017-02-24,AVGO,stock,15.18,15.98,,876.0,57.6873,45.89,5.24,22,3.08,trailing_stop
2017-01-26,2017-02-08,IBM,stock,115.03,115.03,,876.0,7.6148,-0.0,-0.0,9,0.04,trailing_stop
2017-02-01,2017-05-03,DIS,stock,103.68,104.17,,969.0,9.3481,4.54,0.47,63,2.09,trailing_stop
2017-02-01,2017-04-04,NEE,option_us,1.62,2.84,23.08,1357.0,8.39,1029.86,75.9,43,1.17,dte_exit
2017-02-06,2017-03-03,AMD,stock,12.47,12.99,,973.0,78.0135,40.03,4.11,18,2.27,trailing_stop
2017-02-08,2017-02-22,GDXJ,stock,38.45,36.49,,973.0,25.3056,-49.58,-5.09,9,0.0,trailing_stop
2017-02-22,2017-05-02,WMT,option_us,1.61,2.2,19.62,1355.0,8.42,494.67,36.5,48,0.36,dte_exit
2017-02-24,2017-05-02,ERIC-B.ST,option_eu,4.83,3.46,43.99,1362.0,2.82,-385.41,-28.3,44,0.0,dte_exit
2017-03-03,2017-03-21,CRM,stock,81.1,81.1,,984.0,12.1343,-0.0,-0.0,12,0.58,trailing_stop
2017-03-03,2017-06-12,SAP,stock,81.97,92.4,,984.0,12.0049,125.15,12.72,69,10.0,trailing_stop
2017-03-10,2017-03-23,QCOM,stock,45.77,44.32,,982.0,21.4554,-31.17,-3.17,9,0.07,trailing_stop
2017-03-21,2017-07-04,0700.HK,stock,218.37,257.92,,996.0,4.562,180.42,18.11,69,8.16,trailing_stop
2017-03-21,2017-06-06,DGE.L,option_eu,127.71,113.9,1772.29,1395.0,0.11,-150.74,-10.81,51,0.0,dte_exit
2017-03-22,2017-04-11,EWT,stock,20.56,20.16,,996.0,48.4635,-19.35,-1.94,14,0.42,trailing_stop
2017-03-23,2017-04-18,DG.PA,stock,53.98,53.98,,993.0,18.3988,-0.0,-0.0,16,1.27,trailing_stop
2017-04-04,2017-06-12,EQIX,stock,339.08,357.94,,1096.0,3.2325,60.95,5.56,47,3.17,trailing_stop
2017-04-11,2017-07-05,PLD,option_us,3.35,5.98,40.02,1532.0,4.58,1206.69,78.78,58,0.95,dte_exit
2017-04-19,2017-05-02,PPLT,stock,93.82,90.04,,1094.0,11.6618,-44.11,-4.03,9,0.0,trailing_stop
2017-05-02,2017-05-15,SAND.ST,stock,114.0,108.19,,1101.0,9.6548,-56.08,-5.1,9,0.0,trailing_stop
2017-05-02,2017-07-04,AIR.PA,option_eu,5.66,3.3,64.4,1541.0,2.72,-642.89,-41.72,45,0.07,dte_exit
