entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2025-07-01,2025-07-15,NKE,71.23,71.23,1316.0,18.4749,-0.0,-0.0,9,0.91,trailing_stop
2025-07-17,2025-08-06,AMD,161.97,162.76,1306.0,8.0652,6.38,0.49,14,1.55,trailing_stop
2025-07-22,2025-09-05,SCHW,95.89,93.11,1339.0,13.9641,-38.83,-2.9,32,0.76,trailing_stop
2025-07-23,2025-08-05,PICK,40.71,38.77,1339.0,32.8955,-63.8,-4.76,9,0.0,trailing_stop
2025-07-30,2025-09-09,NKE,76.96,73.04,1353.0,17.5738,-68.91,-5.09,28,0.36,trailing_stop
2025-08-01,2025-08-14,OR.PA,387.69,387.69,1516.0,3.9114,-0.0,-0.0,9,0.07,trailing_stop
2025-08-04,2025-08-18,META,759.63,759.63,1516.0,1.9962,-0.0,-0.0,10,0.73,trailing_stop
2025-08-05,2025-11-05,TLT,86.01,88.19,1507.0,17.5239,38.17,2.53,65,2.86,trailing_stop
2025-08-11,2025-08-29,MUV2.DE,570.37,541.31,1547.0,2.7131,-78.84,-5.1,14,0.0,trailing_stop
2025-08-11,2025-10-21,GDX,56.24,73.94,1547.0,27.5162,486.97,31.47,50,9.93,trailing_stop
2025-08-15,2025-12-18,AAPL,233.79,270.48,1547.0,6.6191,242.87,15.7,87,4.33,trailing_stop
2025-08-18,2025-09-02,INTC,24.02,24.02,1547.0,64.4131,-0.0,-0.0,10,0.66,trailing_stop
2025-09-03,2025-09-17,SLV,37.37,37.37,1536.0,41.1107,-0.0,-0.0,10,1.23,trailing_stop
2025-09-03,2025-10-22,GLD,328.09,373.51,1536.0,4.6823,212.66,13.84,35,13.84,trailing_stop
2025-09-05,2025-10-21,PPLT,126.43,139.41,1531.0,12.107,157.2,10.27,32,5.11,trailing_stop
2025-09-09,2025-09-25,AVGO,348.63,330.87,1521.0,4.3622,-77.48,-5.1,12,0.74,trailing_stop
