entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2016-06-01,2016-06-14,INDA,24.62,24.43,1000.0,40.6198,-7.63,-0.76,9,1.09,trailing_stop
2016-06-02,2016-06-15,NESTE.HE,7.76,7.64,1000.0,128.8168,-16.33,-1.63,9,0.92,trailing_stop
2016-06-02,2016-06-16,AVGO,11.92,12.0,1000.0,83.9188,6.89,0.69,10,1.42,trailing_stop
2016-06-02,2016-06-16,0700.HK,150.25,150.25,1000.0,6.6554,-0.0,-0.0,9,0.82,trailing_stop
2016-06-03,2016-06-16,AD.AS,14.87,14.11,1000.0,67.2663,-50.95,-5.1,9,0.0,trailing_stop
2016-06-03,2016-06-16,TMO,148.71,144.67,1000.0,6.7247,-27.12,-2.71,9,0.3,trailing_stop
2016-06-06,2016-06-17,UNH,117.25,117.25,1000.0,8.529,-0.0,-0.0,9,0.95,trailing_stop
2016-06-07,2016-06-20,WEAT,47.05,45.29,1000.0,21.2553,-37.26,-3.73,9,0.53,trailing_stop
2016-06-07,2016-06-24,EEM,27.63,26.75,1000.0,36.1893,-31.81,-3.18,13,0.69,trailing_stop
2016-06-20,2016-07-01,AMD,5.4,5.12,987.0,182.8897,-50.28,-5.1,9,0.11,trailing_stop
2016-06-30,2016-07-13,BATS.L,4668.29,4668.28,984.0,0.2107,-0.0,-0.0,9,1.32,trailing_stop
2016-06-30,2016-07-14,DLR,78.14,78.14,984.0,12.5873,-0.0,-0.0,9,1.01,trailing_stop
2016-06-03,2016-07-15,UNG,117.56,126.52,1000.0,8.5065,76.28,7.63,29,3.51,trailing_stop
2016-06-20,2016-07-15,EQIX,314.09,314.09,987.0,3.1416,-0.0,-0.0,18,0.87,trailing_stop
2016-07-01,2016-07-15,DGE.L,2082.37,2082.37,979.0,0.4699,-0.0,-0.0,10,0.61,trailing_stop
2016-06-29,2016-07-21,AEP,48.91,48.91,984.0,20.109,-0.0,-0.0,15,1.21,trailing_stop
2016-06-22,2016-07-25,GE,133.47,135.88,987.0,7.3933,17.82,1.81,22,2.47,trailing_stop
2016-06-30,2016-07-27,CPER,14.39,14.39,984.0,68.3309,-0.0,-0.0,18,1.69,trailing_stop
2016-07-15,2016-08-02,GS,133.28,127.11,986.0,7.3993,-45.68,-4.63,12,0.04,trailing_stop
2016-08-02,2016-08-15,PPLT,113.22,107.64,983.0,8.6855,-48.47,-4.93,9,0.02,trailing_stop
2016-07-21,2016-08-17,ASML,96.43,96.43,986.0,10.2266,-0.0,-0.0,19,1.17,trailing_stop
2016-07-25,2016-08-31,ADS.DE,126.66,136.26,988.0,7.8004,74.95,7.59,27,3.4,trailing_stop
2016-06-30,2016-09-09,LQD,87.29,87.6,984.0,11.2678,3.43,0.35,49,2.26,trailing_stop
2016-07-15,2016-09-13,PICK,14.97,14.21,986.0,65.8709,-50.25,-5.1,41,0.73,trailing_stop
2016-08-31,2016-09-14,WFC,38.98,37.25,986.0,25.2963,-43.69,-4.43,9,0.0,trailing_stop
2016-08-15,2016-09-15,9984.T,748.59,748.59,979.0,1.3072,-0.0,-0.0,23,1.44,trailing_stop
2016-06-27,2016-09-16,ORCL,33.62,34.25,984.0,29.2532,18.24,1.85,57,2.16,trailing_stop
2016-07-28,2016-09-29,VLO,35.66,36.42,988.0,27.705,21.16,2.14,44,2.12,trailing_stop
2016-09-09,2016-10-04,CCI,65.45,62.11,986.0,15.0714,-50.26,-5.09,17,0.0,trailing_stop
2016-09-26,2016-10-07,CPER,14.5,14.4,979.0,67.4836,-6.87,-0.7,9,0.0,trailing_stop
2016-09-27,2016-10-10,XEL,32.56,30.9,979.0,30.0627,-49.87,-5.1,9,0.0,trailing_stop
2016-10-04,2016-10-12,ERIC-B.ST,48.62,41.29,1283.0,26.3774,-193.47,-15.08,6,0.05,emergency_stop
2016-09-30,2016-10-13,AMZN,41.67,41.67,981.0,23.5393,-0.0,-0.0,9,0.46,trailing_stop
2016-07-14,2016-10-19,INTC,28.28,29.32,979.0,34.6044,36.22,3.7,68,2.3,trailing_stop
2016-07-15,2016-10-21,UNP,76.63,72.72,986.0,12.87,-50.25,-5.09,69,0.97,trailing_stop
2016-09-30,2016-10-25,CAT,70.99,68.4,981.0,13.8171,-35.83,-3.65,17,0.42,trailing_stop
2016-10-12,2016-10-26,USO,91.77,88.23,1258.0,13.7028,-48.51,-3.86,10,0.29,trailing_stop
2016-09-26,2016-11-04,IFX.DE,13.91,13.91,979.0,70.3844,-0.0,-0.0,28,1.6,trailing_stop
2016-10-04,2016-11-04,SMH,31.56,30.31,1283.0,40.6377,-50.87,-3.97,23,0.14,trailing_stop
2016-10-12,2016-11-09,6501.T,435.76,435.76,1258.0,2.8858,-0.0,-0.0,19,1.48,trailing_stop
2016-11-11,2016-11-25,BLK,295.86,295.86,1185.0,4.0062,-0.0,-0.0,9,0.16,trailing_stop
2016-11-11,2016-11-28,CRH,27.38,25.98,1185.0,43.2954,-60.39,-5.1,10,0.0,trailing_stop
2016-11-11,2016-11-28,BMY,40.77,40.77,1185.0,29.0716,-0.0,-0.0,10,0.2,trailing_stop
2016-11-11,2016-12-01,RTX,54.53,54.53,1185.0,21.736,-0.0,-0.0,13,0.41,trailing_stop
2016-11-11,2016-12-02,CHTR,269.34,269.34,1185.0,4.4006,-0.0,-0.0,14,0.56,trailing_stop
2016-12-01,2016-12-14,ITX.MC,24.2,24.2,1179.0,48.7203,-0.0,-0.0,9,0.8,trailing_stop
2016-11-11,2016-12-15,CAT,76.02,76.02,1185.0,15.5922,-0.0,-0.0,23,0.79,trailing_stop
2016-11-25,2016-12-15,SBUX,47.32,47.32,1185.0,25.0486,-0.0,-0.0,14,0.65,trailing_stop
2016-12-14,2017-01-09,COP,39.15,37.16,1179.0,30.1188,-60.08,-5.1,16,0.0,trailing_stop
2016-11-28,2017-01-18,7203.T,1015.75,1015.75,1179.0,1.1609,-0.0,-0.0,33,1.44,trailing_stop
2016-11-28,2017-01-24,VZ,30.8,31.84,1179.0,38.2871,39.95,3.39,38,2.43,trailing_stop
2016-12-02,2017-01-25,ENI.MI,7.67,8.57,1179.0,153.7283,138.68,11.76,37,3.55,trailing_stop
2017-01-09,2017-01-26,GDXJ,32.79,32.79,1173.0,35.7805,-0.0,-0.0,12,0.45,trailing_stop
2016-12-15,2017-01-30,9432.T,72.8,72.8,1179.0,16.1981,-0.0,-0.0,28,1.16,trailing_stop
