entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2025-03-20,2025-04-02,BNP.PA,73.4,69.66,1429.0,19.4628,-72.79,-5.1,9,0.17,trailing_stop
2025-03-20,2025-04-02,NOK,5.19,5.19,1429.0,275.2939,-0.0,-0.0,9,0.18,trailing_stop
2025-03-20,2025-04-03,CPER,31.82,31.35,1429.0,44.8929,-21.02,-1.47,10,0.69,trailing_stop
2025-03-20,2025-04-03,CS.PA,37.84,37.84,1429.0,37.7577,-0.0,-0.0,10,0.37,trailing_stop
2025-03-20,2025-04-03,SAN.MC,6.37,6.04,1429.0,224.3186,-72.79,-5.1,10,0.13,trailing_stop
2025-03-24,2025-04-04,ENEL.MI,6.91,7.04,1429.0,206.7554,26.73,1.87,9,1.86,trailing_stop
2025-03-24,2025-04-04,ENI.MI,13.51,13.01,1429.0,105.766,-53.08,-3.72,9,0.48,trailing_stop
2025-04-07,2025-05-12,KO,64.87,67.33,1401.0,21.5967,53.09,3.79,24,2.75,trailing_stop
2025-04-08,2025-05-21,TLT,86.12,81.73,1401.0,16.2687,-71.38,-5.1,30,0.33,trailing_stop
2025-04-14,2025-04-28,CORN,19.65,18.98,1401.0,71.2995,-48.03,-3.43,9,0.0,trailing_stop
2025-04-21,2025-05-02,GDX,52.33,49.67,1401.0,26.7713,-71.38,-5.1,9,0.0,trailing_stop
2025-04-21,2025-05-02,GDXJ,64.79,61.49,1401.0,21.6227,-71.38,-5.1,9,0.0,trailing_stop
2025-05-02,2025-05-15,LLY,821.24,779.4,1374.0,1.6728,-69.99,-5.1,9,0.0,trailing_stop
2025-05-05,2025-05-23,AI.PA,182.01,182.01,1374.0,7.5477,-0.0,-0.0,14,0.54,trailing_stop
2025-05-05,2025-08-07,MSFT,430.99,518.19,1374.0,3.1874,277.95,20.23,65,4.06,trailing_stop
2025-05-06,2025-07-18,META,591.78,691.52,1374.0,2.3214,231.52,16.85,50,3.24,trailing_stop
2025-05-06,2025-08-01,SPXL,129.56,175.55,1374.0,10.6031,487.63,35.5,60,4.0,trailing_stop
2025-05-12,2025-07-23,IFX.DE,32.23,36.12,1381.0,42.8558,166.47,12.05,52,2.73,trailing_stop
2025-05-22,2025-07-30,PPLT,98.22,120.91,1361.0,13.8583,314.52,23.11,46,9.9,trailing_stop
2025-05-23,2025-06-17,BITO,15.57,14.78,1361.0,87.4052,-69.35,-5.1,16,0.19,trailing_stop
2025-05-29,2025-06-11,PG,163.46,160.33,1361.0,8.327,-26.11,-1.92,9,0.61,trailing_stop
2025-06-11,2025-07-16,QCOM,158.44,150.37,1357.0,8.5671,-69.16,-5.1,23,0.27,trailing_stop
2025-06-17,2025-07-01,XLE,43.23,41.62,1348.0,31.1698,-50.31,-3.73,9,0.1,trailing_stop
2025-07-01,2025-07-15,NKE,71.23,71.23,1340.0,18.8155,-0.0,-0.0,9,0.91,trailing_stop
2025-07-17,2025-08-06,AMD,161.97,162.76,1330.0,8.214,6.5,0.49,14,1.55,trailing_stop
2025-07-22,2025-09-05,SCHW,95.89,93.11,1364.0,14.2191,-39.54,-2.9,32,0.76,trailing_stop
2025-07-23,2025-08-05,PICK,40.71,38.77,1387.0,34.0805,-66.1,-4.76,9,0.0,trailing_stop
2025-07-23,2025-08-05,SLV,35.8,34.1,1387.0,38.7558,-65.77,-4.74,9,0.0,trailing_stop
2025-07-30,2025-09-09,NKE,76.96,73.04,1432.0,18.609,-72.97,-5.1,28,0.36,trailing_stop
2025-08-01,2025-08-14,OR.PA,387.69,387.69,1502.0,3.874,-0.0,-0.0,9,0.07,trailing_stop
2025-08-05,2025-11-05,TLT,86.01,88.19,1483.0,17.2423,37.56,2.53,65,2.86,trailing_stop
2025-08-11,2025-08-29,MUV2.DE,570.37,541.31,1524.0,2.6714,-77.63,-5.1,14,0.0,trailing_stop
2025-08-11,2025-10-21,GDX,56.24,73.94,1524.0,27.0934,479.48,31.47,50,9.93,trailing_stop
2025-08-15,2025-12-18,AAPL,233.79,270.48,1524.0,6.5174,239.14,15.7,87,4.33,trailing_stop
2025-08-18,2025-09-02,INTC,24.02,24.02,1524.0,63.4233,-0.0,-0.0,10,0.66,trailing_stop
2025-09-03,2025-09-17,SLV,37.37,37.37,1513.0,40.479,-0.0,-0.0,10,1.23,trailing_stop
2025-09-03,2025-10-22,GLD,328.09,373.51,1513.0,4.6103,209.39,13.84,35,13.84,trailing_stop
2025-09-05,2025-10-21,PPLT,126.43,139.41,1507.0,11.9195,154.77,10.27,32,5.11,trailing_stop
2025-09-09,2025-09-25,AVGO,348.63,330.87,1497.0,4.2925,-76.25,-5.1,12,0.74,trailing_stop
2025-09-17,2025-11-14,AIR.PA,193.35,202.75,1497.0,7.7398,72.71,4.86,42,2.62,trailing_stop
2025-09-26,2025-10-10,CPER,29.18,30.08,1486.0,50.9139,45.64,3.07,10,3.21,trailing_stop
2025-10-10,2025-10-31,NOK,5.31,6.94,1492.0,281.2557,459.02,30.76,15,11.58,trailing_stop
2025-10-22,2025-11-04,TEF.MC,4.39,3.73,1613.0,367.2285,-243.27,-15.08,9,0.0,emergency_stop
