entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2006-08-04,2006-10-30,NOVO-B.CO,stock,13.73,14.96,,1000.0,72.8368,89.69,8.97,61,4.68,trailing_stop
2006-08-04,2006-11-17,BNP.PA,stock,32.23,34.54,,1000.0,31.025,71.58,7.16,75,2.97,trailing_stop
2006-08-04,2007-01-04,DG.PA,stock,19.33,23.19,,1000.0,51.7426,199.8,19.98,106,6.66,trailing_stop
2006-08-07,2006-08-22,PSA,stock,42.85,42.85,,1000.0,23.3398,-0.0,-0.0,11,0.83,trailing_stop
2006-08-08,2006-08-25,UCG.MI,stock,95.69,96.1,,1000.0,10.4508,4.35,0.43,12,1.44,trailing_stop
2006-08-08,2006-08-29,TIP,stock,57.15,57.15,,1000.0,17.4993,-0.0,-0.0,15,0.79,trailing_stop
2006-08-11,2006-08-24,7203.T,stock,759.32,759.32,,1000.0,1.317,-0.0,-0.0,9,0.82,trailing_stop
2006-08-11,2007-01-17,CSCO,stock,12.64,17.47,,1000.0,79.1353,382.24,38.22,107,7.59,trailing_stop
2006-08-14,2006-08-25,9984.T,stock,265.77,252.23,,1000.0,3.7626,-50.95,-5.1,9,0.2,trailing_stop
2006-08-16,2006-11-27,ALV.DE,stock,54.78,60.11,,1000.0,18.2564,97.38,9.74,73,4.17,trailing_stop
2006-08-22,2007-01-08,ABBN.SW,stock,9.0,11.22,,1000.0,111.0864,245.9,24.59,95,8.02,trailing_stop
2006-08-24,2006-09-12,EXC,stock,20.74,19.85,,1000.0,48.2224,-42.56,-4.26,12,0.0,trailing_stop
2006-08-25,2006-10-19,NESN.SW,stock,23.82,24.31,,995.0,41.7831,20.37,2.05,39,2.03,trailing_stop
2006-08-28,2006-09-11,O,stock,8.71,8.71,,995.0,114.2815,-0.0,-0.0,9,0.62,trailing_stop
2006-08-30,2007-03-05,SRE,stock,12.98,16.42,,995.0,76.6661,263.83,26.51,126,13.04,trailing_stop
2006-09-11,2006-09-22,ASML,stock,21.07,21.07,,995.0,47.2388,-0.0,-0.0,9,0.99,trailing_stop
2006-09-12,2006-12-26,TGT,stock,31.4,34.77,,991.0,31.5652,106.57,10.75,73,3.62,trailing_stop
2006-09-22,2006-10-31,4063.T,stock,1009.96,1067.81,,991.0,0.9813,56.77,5.73,27,3.01,trailing_stop
2006-10-19,2007-01-03,O,option_us,0.7,1.25,8.91,1390.0,19.8,1092.85,78.6,50,0.98,dte_exit
2006-10-30,2007-01-02,DTE.DE,option_eu,0.42,0.46,4.93,1403.0,33.61,149.4,10.65,43,0.2,dte_exit
2006-10-31,2007-01-03,XBI,option_us,1.13,0.1,15.18,1411.0,12.43,-1287.4,-91.25,42,0.3,dte_exit
2006-11-17,2007-01-30,PHIA.AS,option_eu,1.26,1.22,14.97,1421.0,11.28,-40.64,-2.86,50,0.0,dte_exit
2006-11-27,2006-12-14,AGG,stock,55.63,55.63,,1025.0,18.4203,-0.0,-0.0,13,1.42,trailing_stop
2006-12-14,2007-02-27,USB,stock,18.75,19.56,,1025.0,54.6417,43.99,4.29,48,2.9,trailing_stop
2006-12-27,2007-02-16,0700.HK,stock,4.41,4.64,,1035.0,234.7411,53.07,5.13,36,2.66,trailing_stop
2007-01-02,2007-02-20,ISP.MI,stock,1.9,1.82,,1050.0,553.5125,-41.58,-3.96,35,0.4,trailing_stop
2007-01-04,2007-02-13,WELL,stock,17.89,19.19,,1051.0,58.7359,76.43,7.27,27,4.03,trailing_stop
2007-01-05,2007-01-26,GSK,stock,20.91,20.91,,1051.0,50.2545,-0.0,-0.0,14,1.31,trailing_stop
2007-01-05,2007-04-03,EFA,option_us,2.85,4.76,39.26,1471.0,5.17,987.47,67.12,60,0.67,dte_exit
2007-01-08,2007-04-26,ABT,stock,15.45,17.5,,1075.0,69.6124,142.55,13.26,75,7.47,trailing_stop
2007-01-17,2007-02-27,INTC,stock,12.72,12.07,,1114.0,87.5754,-56.74,-5.1,28,0.36,trailing_stop
2007-01-26,2007-02-27,T,stock,7.17,7.17,,1114.0,155.3974,-0.0,-0.0,21,0.89,trailing_stop
2007-01-30,2007-02-12,NOK,stock,11.79,11.79,,1110.0,94.1403,-0.0,-0.0,9,0.49,trailing_stop
2007-02-12,2007-03-29,AGG,stock,55.8,56.24,,1110.0,19.8826,8.61,0.78,32,2.45,trailing_stop
2007-02-13,2007-02-27,NESN.SW,stock,26.7,26.7,,1117.0,41.8344,-0.0,-0.0,10,0.84,trailing_stop
2007-02-16,2007-03-01,MBG.DE,stock,16.76,15.91,,1122.0,66.9665,-57.19,-5.1,9,1.04,trailing_stop
2007-02-20,2007-04-09,IEF,stock,51.17,51.37,,1118.0,21.8535,4.32,0.39,33,2.76,trailing_stop
2007-02-27,2007-03-14,NESTE.HE,stock,4.6,4.37,,1117.0,242.7605,-56.91,-5.1,11,0.0,trailing_stop
2007-02-28,2007-03-13,NEE,stock,8.38,8.38,,1117.0,133.3593,-0.0,-0.0,9,0.42,trailing_stop
2007-02-28,2007-03-14,9984.T,stock,326.07,309.46,,1117.0,3.4258,-56.91,-5.09,10,0.04,trailing_stop
2007-02-28,2007-04-12,TIP,stock,58.04,57.38,,1117.0,19.2474,-12.6,-1.13,30,0.76,trailing_stop
2007-03-23,2007-04-05,FMG.AX,stock,0.74,0.74,,1126.0,1517.0379,-0.0,-0.0,9,0.45,trailing_stop
2007-03-23,2007-04-05,ORCL,stock,14.77,14.77,,1126.0,76.236,-0.0,-0.0,9,0.2,trailing_stop
2007-03-23,2007-04-05,AEP,stock,22.91,22.91,,1126.0,49.1681,-0.0,-0.0,9,0.81,trailing_stop
2007-03-23,2007-08-16,T,stock,7.75,7.41,,1126.0,145.3451,-49.65,-4.41,101,1.67,trailing_stop
2007-03-23,2007-06-05,ADBE,option_us,4.42,3.85,40.85,1577.0,3.57,-204.7,-12.98,50,0.0,dte_exit
2007-04-04,2007-04-18,CRH,stock,23.29,23.29,,1226.0,52.6334,-0.0,-0.0,9,1.05,trailing_stop
2007-04-04,2007-04-19,ITX.MC,stock,3.5,3.5,,1226.0,350.1366,-0.0,-0.0,9,0.35,trailing_stop
2007-04-05,2007-06-05,HAL,option_us,2.28,4.05,22.85,1716.0,7.54,1338.04,77.96,41,0.89,dte_exit
2007-04-09,2007-05-16,DBB,stock,20.72,21.02,,1226.0,59.1925,17.89,1.46,27,2.71,trailing_stop
2007-04-10,2007-05-24,CSL.AX,stock,21.07,22.19,,1226.0,58.2096,65.22,5.32,31,3.41,trailing_stop
2007-04-10,2007-06-25,DTE.DE,stock,4.98,5.55,,1226.0,246.2089,140.27,11.44,52,5.91,trailing_stop
2007-04-12,2007-04-25,4063.T,stock,1090.3,1049.51,,1225.0,1.1236,-45.83,-3.74,9,0.33,trailing_stop
2007-04-18,2007-07-03,CS.PA,option_eu,1.05,0.45,9.71,1715.0,16.29,-990.2,-57.73,53,0.06,dte_exit
2007-04-19,2007-05-03,CBA.AX,stock,20.6,20.6,,1225.0,59.47,-0.0,-0.0,9,0.4,trailing_stop
2007-04-25,2007-05-08,XLU,stock,10.99,10.99,,1221.0,111.09,-0.0,-0.0,9,0.48,trailing_stop
2007-04-26,2007-05-09,NVDA,stock,0.51,0.51,,1235.0,2438.266,-0.0,-0.0,9,0.27,trailing_stop
2007-05-03,2007-06-06,IBM,stock,53.11,53.58,,1235.0,23.2491,11.0,0.89,23,1.85,trailing_stop
2007-05-08,2007-05-24,FMG.AX,stock,0.88,1.02,,1235.0,1402.3991,200.52,16.24,12,6.71,trailing_stop
2007-05-09,2007-05-30,PFE,stock,11.47,11.47,,1235.0,107.6419,-0.0,-0.0,14,0.48,trailing_stop
2007-05-16,2007-05-30,AMD,stock,15.38,14.59,,1237.0,80.4255,-63.0,-5.1,9,0.23,trailing_stop
2007-05-24,2007-06-08,6758.T,stock,1198.56,1141.49,,1263.0,1.0539,-60.14,-4.76,11,0.1,trailing_stop
2007-05-24,2007-06-20,AMZN,stock,3.46,3.46,,1263.0,365.5512,-0.0,-0.0,18,1.02,trailing_stop
2007-05-30,2007-08-07,MUV2.DE,option_eu,4.72,0.66,58.72,1760.0,3.73,-1513.99,-86.04,49,0.13,dte_exit
2007-05-31,2007-07-27,XLI,stock,27.15,27.36,,1257.0,46.285,9.41,0.75,40,3.16,trailing_stop
2007-06-05,2007-06-08,FMG.AX,stock,1.36,1.16,,1370.0,1005.8159,-206.69,-15.09,3,0.0,emergency_stop
2007-06-05,2007-06-19,WMT,stock,11.6,11.01,,1370.0,118.0737,-69.81,-5.09,10,0.0,trailing_stop
2007-06-07,2007-06-26,9984.T,stock,303.42,303.42,,1371.0,4.5193,-0.0,-0.0,13,0.91,trailing_stop
