entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2025-09-17,2025-10-10,QQQ,590.25,590.24,1429.0,2.4203,-0.0,-0.0,17,1.78,trailing_stop
2025-09-17,2025-10-10,SPXL,205.4,205.4,1429.0,6.9549,-0.0,-0.0,17,1.46,trailing_stop
2025-09-17,2025-10-14,SAN.MC,8.32,8.32,1429.0,171.6525,-0.0,-0.0,19,1.31,trailing_stop
2025-09-17,2025-11-14,AIR.PA,193.35,202.75,1429.0,7.3884,69.41,4.86,42,2.62,trailing_stop
2025-09-19,2025-10-31,NOK,4.77,6.94,1429.0,299.1917,647.02,45.29,30,14.77,trailing_stop
2025-09-19,2025-11-14,AMAT,190.64,212.31,1429.0,7.4937,162.42,11.37,40,5.19,trailing_stop
2025-09-22,2025-10-23,IBM,263.92,268.97,1429.0,5.4129,27.34,1.91,23,2.52,trailing_stop
2025-10-10,2025-10-23,CSCO,70.11,70.11,1429.0,20.3775,-0.0,-0.0,9,0.11,trailing_stop
2025-10-10,2026-01-16,MC.PA,557.75,606.59,1429.0,2.5613,125.09,8.76,67,3.01,trailing_stop
2025-10-14,2025-10-29,PEP,147.4,147.4,1429.0,9.692,-0.0,-0.0,11,0.91,trailing_stop
2025-10-23,2026-02-11,KO,70.39,78.83,1432.0,20.3516,171.94,12.0,75,4.05,end_of_data
2025-10-23,2026-02-11,DHR,217.52,218.82,1432.0,6.5856,8.58,0.6,75,1.8,end_of_data
2025-10-29,2025-12-09,SOYB,22.76,22.76,1432.0,62.9307,-0.0,-0.0,28,2.24,trailing_stop
2025-10-31,2025-11-13,NVDA,206.64,196.12,1525.0,7.3794,-77.69,-5.1,9,0.02,trailing_stop
2025-11-13,2026-02-11,PFE,25.54,27.91,1514.0,59.2763,140.3,9.27,60,2.12,end_of_data
2025-11-14,2026-02-11,UCG.MI,65.47,74.59,1547.0,23.6264,215.37,13.92,58,5.39,end_of_data
2025-11-26,2025-12-16,GOOGL,320.79,304.45,1547.0,4.8222,-78.82,-5.1,13,0.01,trailing_stop
2025-12-09,2026-01-30,DBB,21.57,24.05,1547.0,71.7006,177.18,11.45,35,7.66,trailing_stop
2025-12-22,2026-01-07,INGA.AS,23.74,23.98,1536.0,64.6791,15.54,1.01,9,1.17,trailing_stop
2026-01-07,2026-02-04,IFX.DE,41.59,39.47,1538.0,36.9804,-78.36,-5.1,20,1.05,trailing_stop
2026-01-16,2026-01-30,SLV,80.41,85.15,1556.0,19.3477,91.63,5.89,9,2.62,trailing_stop
2026-01-30,2026-02-11,SOYB,22.32,23.2,1594.0,71.4155,62.68,3.93,8,1.95,end_of_data
2026-02-02,2026-02-11,USO,75.58,78.83,1594.0,21.0936,68.65,4.31,7,0.8,end_of_data
2026-02-04,2026-02-11,CSCO,84.06,86.11,1583.0,18.8305,38.53,2.43,5,0.76,end_of_data
